pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,st_teff,st_met,st_rad,sy_pnum,pl_dens_calc,mass_radius_ratio,hz_flag,log_rade,log_dens,log_period,log_smax,log_eqt,cluster,umap_x,umap_y,pl_bmasse_imputed,pl_rade_imputed,pl_eqt_imputed,pl_insol_imputed,cluster_name,method_group
Kepler-315 c,Kepler-315,Transit,2014.0,4.15,16.1,265.469335,0.791,291.0,1.722,5796.0,-0.27,1.037,2,1.2411754726847581,3.8795180722891565,0,0.6180480967120927,0.09383318474735651,2.424014361916794,-0.10182351650232342,2.4638929889859074,3.0,5.8019934,8.873848,0,0,0,0,Mini-Neptunes,Transit
Kepler-316 b,Kepler-316,Transit,2014.0,1.06,1.2,2.240508,0.027,837.0,164.776,4204.0,-0.23,0.52,2,5.551562699409579,1.1320754716981132,0,0.02530586526477026,0.744415249105099,0.35034649895187503,-1.5686362358410126,2.92272545799326,5.0,4.762497,10.016865,0,0,0,0,Earth-sized Rocky,Transit
Kepler-316 c,Kepler-316,Transit,2014.0,1.16,1.65,6.827766,0.058,577.0,37.377,4204.0,-0.23,0.52,2,5.82453923900119,1.4224137931034484,0,0.06445798922691845,0.765261575384936,0.8342786286333549,-1.2365720064370627,2.7611758131557314,5.0,4.9703145,9.834132,0,0,0,0,Earth-sized Rocky,Transit
Kepler-317 b,Kepler-317,Transit,2014.0,2.09,109.8,5.524242,0.061,976.0,151.652,5497.0,0.13,0.941,2,66.26971160750149,52.535885167464116,0,0.320146286111054,1.821315080632696,0.742272695424796,-1.214670164989233,2.9894498176666917,1.0,2.7530284,11.728746,0,0,0,0,Super-Earths (multi),Transit
Kepler-317 c,Kepler-317,Transit,2014.0,1.72,3.61,8.77501,0.083,837.0,81.761,5497.0,0.13,0.941,2,3.909070113323355,2.0988372093023258,0,0.23552844690754893,0.5920734600347961,0.9432476200600661,-1.080921907623926,2.92272545799326,3.0,7.060576,11.004034,0,0,0,0,Mini-Neptunes,Transit
Kepler-318 b,Kepler-318,Transit,2014.0,4.71,19.9,4.662715,0.056,1039.0,333.149,5746.0,0.332,1.189,2,1.0494021602339065,4.225053078556263,0,0.6730209071288962,0.02094195387480309,0.6686388708029816,-1.2518119729937995,3.016615547557177,3.0,7.989765,10.820463,0,0,0,0,Mini-Neptunes,Transit
Kepler-318 c,Kepler-318,Transit,2014.0,3.68,13.1,11.815007,0.105,762.0,96.513,5746.0,0.332,1.189,2,1.448369725743815,3.559782608695652,0,0.5658478186735176,0.16087943848699626,1.0724339832735483,-0.978810700930062,2.8819549713396007,3.0,7.9757752,10.697972,0,0,0,0,Mini-Neptunes,Transit
Kepler-319 b,Kepler-319,Transit,2014.0,1.63,3.29,4.362705,0.051,1023.0,253.665,5526.0,0.06,0.903,3,4.1858598528152315,2.0184049079754605,0,0.21218760440395779,0.621784683589886,0.6397558475952075,-1.2924298239020637,3.00987563371216,3.0,1.6316248,15.695429,0,0,0,0,Mini-Neptunes,Transit
Kepler-319 c,Kepler-319,Transit,2014.0,2.63,7.41,6.941357,0.069,876.0,136.343,5526.0,0.06,0.903,3,2.2444118931275785,2.817490494296578,0,0.41995574848975786,0.3511025613618397,0.8414443811179579,-1.1611509092627446,2.9425041061680806,3.0,1.5045801,15.215853,0,0,0,0,Mini-Neptunes,Transit
Kepler-319 d,Kepler-319,Transit,2014.0,2.29,5.86,31.781925,0.191,528.0,17.962,5526.0,0.06,0.903,3,2.6887026043574527,2.558951965065502,0,0.359835482339888,0.4295427678502117,1.5021801984584844,-0.7189666327522725,2.722633922533812,3.0,1.1082473,14.864216,0,0,0,0,Mini-Neptunes,Transit
Kepler-32 b,Kepler-32,Transit,2011.0,2.2,1303.0,5.90124,0.05,514.0,22.025,3900.0,0.0,0.53,5,674.2608940646129,592.2727272727273,0,0.3424226808222063,2.8288279720977507,0.7709432775022642,-1.3010299956639813,2.710963118995276,1.0,2.1743135,11.699422,0,0,0,0,Super-Earths (multi),Transit
Kepler-32 c,Kepler-32,Transit,2011.0,2.0,158.9,8.7522,0.09,451.0,10.68,3900.0,0.0,0.53,5,109.442375,79.45,0,0.3010299956639812,2.039185509067221,0.9421172333385271,-1.0457574905606752,2.6541765418779604,1.0,1.734396,11.745781,0,0,0,0,Super-Earths (multi),Transit
Kepler-32 d,Kepler-32,Transit,2012.0,2.7,39.9089,22.7802,0.13,328.0,3.631,3900.0,0.0,0.53,5,11.171977798099881,14.781074074074073,0,0.43136376415898736,1.0481300639630624,1.357557532671751,-0.8860566476931632,2.515873843711679,1.0,0.13258915,11.720235,0,0,0,0,Super-Earths (multi),Transit
